Name,Description ,Unit,DataType,Attributes
nginx.requests,Total number of requests made to the server since it started,requests,Sum,
nginx.connections_accepted,The total number of accepted client connections,connections,Sum,
nginx.connections_current,The current number of nginx connections by state,connections,Gauge,STRING(active);STRING(reading);STRING(writing);STRING(waiting)
nginx.connections_handled,"The total number of handled connections. Generally, the parameter value is the same as nginx.connections_accepted unless some resource limits have been reached (for example, the worker_connections limit).",connections,Sum,
