Name,Description,Unit,DataType,Attributes
go_memory_classes_total_bytes,All memory mapped by the Go runtime into the current process as read-write. Note that this does not include memory mapped by code called via cgo or via the syscall package. Sum of all metrics in /memory/classes.,,Gauge,
go_gc_heap_allocs_bytes,Cumulative sum of memory allocated to the heap by the application.,,Sum,
go_gc_limiter_last_enabled_gc_cycle,"GC cycle the last time the GC CPU limiter was enabled. This metric is useful for diagnosing the root cause of an out-of-memory error, because the limiter trades memory for CPU time when the GC's CPU time gets too high. This is most likely to occur with use of SetMemoryLimit. The first GC cycle is cycle 1, so a value of 0 indicates that it was never enabled.",,Gauge,
go_gc_stack_starting_size_bytes,The stack size of new goroutines.,,Gauge,
go_memory_classes_metadata_mspan_inuse_bytes,Memory that is occupied by runtime mspan structures that are currently being used.,,Gauge,
go_gc_pauses_seconds,Distribution individual GC-related stop-the-world pause latencies.,,Histogram,
go_gc_cycles_forced_gc_cycles,Count of completed GC cycles forced by the application.,,Sum,
go_memory_classes_heap_unused_bytes,Memory that is reserved for heap objects but is not currently used to hold heap objects.,,Gauge,
go_memory_classes_metadata_mcache_inuse_bytes,Memory that is occupied by runtime mcache structures that are currently being used.,,Gauge,
go_memory_classes_heap_stacks_bytes,"Memory allocated from the heap that is reserved for stack space, whether or not it is currently in-use.",,Gauge,
go_memory_classes_heap_free_bytes,"Memory that is completely free and eligible to be returned to the underlying system, but has not been. This metric is the runtime's estimate of free address space that is backed by physical memory.",,Gauge,
go_memory_classes_heap_objects_bytes,Memory occupied by live objects and dead objects that have not yet been marked free by the garbage collector.,,Gauge,
go_memory_classes_other_bytes,"Memory used by execution trace buffers, structures for debugging the runtime, finalizer and profiler specials, and more.",,Gauge,
go_gc_heap_frees_bytes,Cumulative sum of heap memory freed by the garbage collector.,,Sum,
go_memory_classes_os_stacks_bytes,Stack memory allocated by the underlying operating system.,,Gauge,
go_gc_heap_objects_objects,"Number of objects, live or unswept, occupying heap memory.",,Gauge,
go_sched_gomaxprocs_threads,"The current runtime.GOMAXPROCS setting, or the number of operating system threads that can execute user-level Go code simultaneously.",,Gauge,
go_gc_cycles_automatic_gc_cycles,Count of completed GC cycles generated by the Go runtime.,,Sum,
go_memory_classes_heap_released_bytes,"Memory that is completely free and has been returned to the underlying system. This metric is the runtime's estimate of free address space that is still mapped into the process, but is not backed by physical memory.",,Gauge,
go_gc_cycles_total_gc_cycles,Count of all completed GC cycles.,,Sum,
go_sched_goroutines_goroutines,Count of live goroutines.,,Gauge,
go_memory_classes_metadata_other_bytes,Memory that is reserved for or used to hold runtime metadata.,,Gauge,
go_memory_classes_profiling_buckets_bytes,Memory that is used by the stack trace hash map used for profiling.,,Gauge,
go_memory_classes_metadata_mcache_free_bytes,"Memory that is reserved for runtime mcache structures, but not in-use.",,Gauge,
go_memory_classes_metadata_mspan_free_bytes,"Memory that is reserved for runtime mspan structures, but not in-use.",,Gauge,
go_sched_latencies_seconds,Distribution of the time goroutines have spent in the scheduler in a runnable state before actually running.,,Histogram,
go_gc_heap_frees_objects,"Description: Cumulative count of heap allocations whose storage was freed by the garbage collector. Note that this does not include tiny objects as defined by /gc/heap/tiny/allocs:objects, only tiny blocks.",,Sum,
go_gc_heap_tiny_allocs_objects,"Count of small allocations that are packed together into blocks. These allocations are counted separately from other allocations because each individual allocation is not tracked by the runtime, only their block. Each block is already accounted for in allocs-by-size and frees-by-size.",,Sum,
