Name,Description ,Unit,DataType,Attributes
squid_Near_Hits_25,Service Time Percentiles 5min,,Sum,
squid_DNS_Lookups_60,Service Time Percentiles 5min,,Sum,
squid_DNS_Lookups_95,Service Time Percentiles 5min,,Sum,
squid_Cache_Hits_40,Service Time Percentiles 5min,,Sum,
go_threads,Number of OS threads created.,,Gauge,
scrape_samples_scraped,The number of samples the target exposed,,Gauge,
scrape_samples_post_metric_relabeling,The number of samples remaining after metric relabeling was applied,,Gauge,
squid_server_all_kbytes_out_kbytes_total,The total number of server kbytes transferred,,Sum,
squid_HTTP_Requests_All_65,Service Time Percentiles 5min,,Sum,
squid_Cache_Misses_20,Service Time Percentiles 5min,,Sum,
squid_HTTP_Requests_All_50,Service Time Percentiles 5min,,Sum,
squid_HTTP_Requests_All_60,Service Time Percentiles 5min,,Sum,
squid_Cache_Hits_15,Service Time Percentiles 5min,,Sum,
squid_Cache_Misses_60,Service Time Percentiles 5min,,Sum,
go_memstats_mcache_inuse_bytes,Number of bytes in use by mcache structures.,,Gauge,
squid_server_http_requests_total,The total number of server http requests,,Sum,
go_memstats_stack_sys_bytes,Number of bytes obtained from system for stack allocator.,,Gauge,
go_memstats_next_gc_bytes,Number of heap bytes when next garbage collection will take place.,,Gauge,
squid_Near_Hits_60,Service Time Percentiles 5min,,Sum,
squid_HTTP_Requests_All_15,Service Time Percentiles 5min,,Sum,
squid_DNS_Lookups_75,Service Time Percentiles 5min,,Sum,
go_memstats_mspan_sys_bytes,Number of bytes used for mspan structures obtained from system.,,Gauge,
squid_HTTP_Requests_All_10,Service Time Percentiles 5min,,Sum,
squid_DNS_Lookups_50,Service Time Percentiles 5min,,Sum,
squid_Cache_Hits_85,Service Time Percentiles 5min,,Sum,
go_memstats_last_gc_time_seconds,Number of seconds since 1970 of last garbage collection.,,Gauge,
squid_server_ftp_requests_total,The total number of server ftp requests,,Sum,
squid_DNS_Lookups_15,Service Time Percentiles 5min,,Sum,
squid_HTTP_Requests_All_90,Service Time Percentiles 5min,,Sum,
squid_Near_Hits_75,Service Time Percentiles 5min,,Sum,
squid_Cache_Misses_45,Service Time Percentiles 5min,,Sum,
squid_client_http_kbytes_in_kbytes_total,The total number of client kbytes received,,Sum,
squid_Cache_Misses_30,Service Time Percentiles 5min,,Sum,
squid_HTTP_Requests_All_75,Service Time Percentiles 5min,,Sum,
go_goroutines,Number of goroutines that currently exist.,,Gauge,
squid_Near_Hits_85,Service Time Percentiles 5min,,Sum,
squid_Near_Hits_45,Service Time Percentiles 5min,,Sum,
go_memstats_heap_inuse_bytes,Number of heap bytes that are in use.,,Gauge,
squid_Cache_Misses_65,Service Time Percentiles 5min,,Sum,
squid_exporter_build_info,"A metric with a constant '1' value labeled by version, revision, branch, and goversion from which squid_exporter was built.",,Gauge,STRING(go1.17.7)
squid_HTTP_Requests_All_95,Service Time Percentiles 5min,,Sum,
squid_Cache_Misses_85,Service Time Percentiles 5min,,Sum,
process_max_fds,Maximum number of open file descriptors.,,Gauge,
go_memstats_alloc_bytes_total,"Total number of bytes allocated, even if freed.",,Sum,
squid_server_all_kbytes_in_kbytes_total,The total number of server kbytes received,,Sum,
squid_HTTP_Requests_All_45,Service Time Percentiles 5min,,Sum,
squid_Cache_Misses_75,Service Time Percentiles 5min,,Sum,
promhttp_metric_handler_requests_total,Total number of scrapes by HTTP status code.,,Sum,STRING(200);STRING(500);STRING(503)
squid_client_http_hits_total,The total number of client cache hits,,Sum,
squid_DNS_Lookups_55,Service Time Percentiles 5min,,Sum,
squid_server_other_errors_total,The total number of server other errors,,Sum,
process_virtual_memory_bytes,Virtual memory size in bytes.,,Gauge,
squid_Cache_Hits_60,Service Time Percentiles 5min,,Sum,
squid_DNS_Lookups_65,Service Time Percentiles 5min,,Sum,
squid_server_all_errors_total,The total number of server all errors,,Sum,
squid_client_http_requests_total,The total number of client requests,,Sum,
squid_DNS_Lookups_80,Service Time Percentiles 5min,,Sum,
squid_Cache_Misses_50,Service Time Percentiles 5min,,Sum,
squid_DNS_Lookups_35,Service Time Percentiles 5min,,Sum,
squid_Cache_Hits_55,Service Time Percentiles 5min,,Sum,
process_cpu_seconds_total,Total user and system CPU time spent in seconds.,,Sum,
squid_Cache_Misses_35,Service Time Percentiles 5min,,Sum,
go_memstats_heap_objects,Number of allocated objects.,,Gauge,
squid_Near_Hits_90,Service Time Percentiles 5min,,Sum,
process_open_fds,Number of open file descriptors.,,Gauge,
squid_DNS_Lookups_90,Service Time Percentiles 5min,,Sum,
squid_HTTP_Requests_All_5,Service Time Percentiles 5min,,Sum,
go_info,Information about the Go environment.,,Gauge,STRING(go1.17.7)
squid_HTTP_Requests_All_30,Service Time Percentiles 5min,,Sum,
